hierarchy,0m,0-0.3m,0.3-0.6m,0.6-0.9m,0.9-1.2m,1.2-1.5m,1.5-1.8m,1.8-2.1m,2.1-2.4m,2.4-2.7m,2.7-3.0m,3.0m-
General Population,0,0.000114,0.000114,0.000114,0.000395,0.000395,0.000395,0.000395,0.000395,0.000395,0.000395,0.000395
Vulnerable Population ,0,0.000279,0.000279,0.000279,0.000872,0.000872,0.000872,0.000872,0.000872,0.000872,0.000872,0.000872
