farmland,crops,may,jun,jul,aug
논,논벼 ,34.27,51.685,69.101,85.955
시설 ,딸기 ,35.075,58.209,81.343,100
인삼 ,인삼 ,66.027,74.521,83.014,91.233
밭,수박 ,0,0,25.41,50
밭,가을무,0,0,17.91,62.687
밭,가을배추 ,0,0,17.347,47.959
밭,참깨 ,25.301,62.651,100,0
밭,옥수수,46.753,66.883,87.013,100
밭,콩,16.406,40.625,64.844,88.281
밭,고구마,50.244,65.366,80.488,95.122
