occupancy,description,costs
단독주택,조적조,1228
단독주택,철골조,1238
단독주택,철근콘크리트조,1150
단독주택,목조 ,982
아파트 , ,1462
다세대주택/연립주택, ,1096
1종근린생활시설, ,944
2종근린생활시설, ,974
종교시설, ,1468
문화및집회시설 , ,1335
판매시설, ,1446
운수시설, ,1022
의료시설, ,1362
장례시설, ,1127
교육연구시설, ,902
노유자시설 , ,1246
수련시설, ,902
운동시설, ,1401
공공업무시설, ,1132
일반업무시설, ,906
숙박시설, ,1177
위락시설, ,1177
일반공장, ,686
공해공장, ,1122
창고시설, ,634
위험물저장처리시설 , ,771
자동차관련시설 , ,482
동물및식물관련시설 , ,370
분뇨쓰레기처리시설 , ,370
교정및군사시설 , ,992
발전시설, ,1026
방송통신시설, ,1026
묘지관련시설, ,1127
관광휴게시설, ,907
