occupancy,description,costs
단독주택,조적조,1217
단독주택,철골조,1227
단독주택,철근콘크리트조,1140
단독주택,목조 ,974
아파트 , ,1449
다세대주택/연립주택, ,1086
1종근린생활시설, ,936
2종근린생활시설, ,966
종교시설, ,1455
문화및집회시설 , ,1323
판매시설, ,1433
운수시설, ,1013
의료시설, ,1350
장례시설, ,1117
교육연구시설, ,894
노유자시설 , ,1235
수련시설, ,894
운동시설, ,1389
공공업무시설, ,1122
일반업무시설, ,898
숙박시설, ,1167
위락시설, ,1167
일반공장, ,680
공해공장, ,1112
창고시설, ,629
위험물저장처리시설 , ,764
자동차관련시설 , ,478
동물및식물관련시설 , ,367
분뇨쓰레기처리시설 , ,367
교정및군사시설 , ,983
발전시설, ,1017
방송통신시설, ,1017
묘지관련시설, ,1117
관광휴게시설, ,899
