type,costs
PAS1,11595
PAS2,17658
PAS3,36225
PAS4,10325
PAS5,29483
PAS6,24053
PAS7,30371
PAS8,25460
PAS9,37130
VAN1,29483
VAN2,67820
VAN3,125000
TRU1,25166
TRU2,17080
TRU3,47243
TRU4,165137
TRU5,20575
TRU6,50055
TRU7,72870
TRU8,18423
TRU9,52800
TRU10 ,76435
TRU11 ,21590
