type,costs
PAS1,11639
PAS2,17725
PAS3,36363
PAS4,10364
PAS5,29596
PAS6,24145
PAS7,30487
PAS8,25557
PAS9,37272
VAN1,29596
VAN2,68080
VAN3,125479
TRU1,25262
TRU2,17145
TRU3,47424
TRU4,165770
TRU5,20653
TRU6,50246
TRU7,73149
TRU8,18493
TRU9,53002
TRU10 ,76728
TRU11 ,21672
